"CVE_GEOEST","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"010011001","21°53'20.000""N","102°22'23.000""W","1920","F13D18","R","Aguascalientes","Aguascalientes"
"010011004","21°51'42.000""N","102°03'30.000""W","2010","F13D19","R","Aguascalientes","Aguascalientes"
"010011006","21°48'15.000""N","102°04'47.000""W","1990","F13D19","R","Aguascalientes","Aguascalientes"
"010011009","21°47'47.000""N","102°08'35.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010011156","21°47'20.000""N","102°06'02.000""W","1920","F13D19","R","Aguascalientes","Aguascalientes"
"010011162","22°04'27.000""N","102°15'00.000""W","1900","F13B89","R","Aguascalientes","Aguascalientes"
"010011171","21°52'20.000""N","102°20'21.000""W","1860","F13D18","R","Aguascalientes","Aguascalientes"
"010030067","21°51'52.000""N","102°41'50.000""W","1660","F13D18","R","Aguascalientes","Calvillo"
"010050020","21°59'10.000""N","102°19'55.000""W","1828","F13D18","R","Aguascalientes","Jesús María"
"010050025","21°54'18.000""N","102°21'26.000""W","1883","F13D18","R","Aguascalientes","Jesús María"
"010010093","21°45'53.000""N","102°16'59.000""W","1870","F13D19","R","Aguascalientes","Aguascalientes"
"010020022","22°05'09.164""N","101°58'11.668""W","2051","F14A81","R","Aguascalientes","Asientos"
"010020031","22°03'46.893""N","102°05'39.708""W","1965","F13B89","R","Aguascalientes","Asientos"
"010020056","22°03'36.549""N","101°54'44.618""W","2076","F14A81","R","Aguascalientes","Asientos"
"010020113","22°04'57.946""N","102°07'49.768""W","2043","F13B89","R","Aguascalientes","Asientos"
"010020051","22°06'23.223""N","102°00'34.944""W","2023","F13B89","R","Aguascalientes","Asientos"
"010020055","22°05'25.033""N","102°10'57.308""W","2025","F13B89","R","Aguascalientes","Asientos"
"010010196","22°02'07.000""N","102°15'31.000""W","1910","F13B89","R","Aguascalientes","Aguascalientes"
"010010199","21°52'18.000""N","102°05'55.000""W","2020","F13D19","R","Aguascalientes","Aguascalientes"
"010010203","21°56'53.000""N","102°07'10.000""W","2010","F13D19","R","Aguascalientes","Aguascalientes"
"010010206","21°53'41.000""N","102°03'49.000""W","2030","F13D19","R","Aguascalientes","Aguascalientes"
"010010210","21°58'04.000""N","102°01'09.000""W","2020","F13D19","R","Aguascalientes","Aguascalientes"
"010010211","21°50'53.000""N","102°03'28.000""W","2005","F13D19","R","Aguascalientes","Aguascalientes"
"010010214","22°03'46.000""N","102°17'06.000""W","1880","F13B89","R","Aguascalientes","Aguascalientes"
"010010215","21°52'37.000""N","102°03'28.000""W","2020","F13D19","R","Aguascalientes","Aguascalientes"
"010010225","21°59'26.000""N","102°16'11.000""W","1860","F13D19","R","Aguascalientes","Aguascalientes"
"010010269","22°05'11.000""N","102°16'48.000""W","1880","F13B89","R","Aguascalientes","Aguascalientes"
"010010278","21°57'28.000""N","102°07'13.000""W","2060","F13D19","R","Aguascalientes","Aguascalientes"
"010010282","21°54'33.000""N","102°08'39.000""W","2045","F13D19","R","Aguascalientes","Aguascalientes"
"010010286","21°52'40.000""N","101°58'50.000""W","2010","F14C11","R","Aguascalientes","Aguascalientes"
"010010287","21°56'41.000""N","102°03'48.000""W","2080","F13D19","R","Aguascalientes","Aguascalientes"
"010010289","21°52'39.000""N","102°19'53.000""W","1850","F13D19","R","Aguascalientes","Aguascalientes"
"010010294","22°01'15.000""N","102°00'04.000""W","2030","F13B89","R","Aguascalientes","Aguascalientes"
"010010298","21°57'49.000""N","101°57'06.000""W","2065","F14C11","R","Aguascalientes","Aguascalientes"
"010010313","22°04'20.000""N","102°17'14.000""W","1880","F13B89","R","Aguascalientes","Aguascalientes"
"010010330","21°54'41.000""N","102°04'54.000""W","2030","F13D19","R","Aguascalientes","Aguascalientes"
"010010333","22°01'27.000""N","102°16'40.000""W","1900","F13B89","R","Aguascalientes","Aguascalientes"
"010010337","21°44'56.000""N","102°05'27.000""W","1985","F13D29","R","Aguascalientes","Aguascalientes"
"010010342","21°57'35.000""N","102°16'07.000""W","1920","F13D19","R","Aguascalientes","Aguascalientes"
"010010349","21°50'27.000""N","102°09'54.000""W","2010","F13D19","R","Aguascalientes","Aguascalientes"
"010010354","22°03'19.000""N","102°17'03.000""W","1880","F13B89","R","Aguascalientes","Aguascalientes"
"010010359","21°50'04.000""N","102°04'57.000""W","2010","F13D19","R","Aguascalientes","Aguascalientes"
"010010361","22°02'10.000""N","102°17'14.000""W","1900","F13B89","R","Aguascalientes","Aguascalientes"
"010010364","21°49'27.000""N","102°03'21.000""W","1990","F13D19","R","Aguascalientes","Aguascalientes"
"010010369","21°53'14.000""N","102°06'28.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010010396","21°50'21.000""N","102°18'16.000""W","1900","F13D19","R","Aguascalientes","Aguascalientes"
"010010397","22°02'14.000""N","102°16'39.000""W","1905","F13B89","R","Aguascalientes","Aguascalientes"
"010010400","21°50'46.000""N","102°04'03.000""W","2010","F13D19","R","Aguascalientes","Aguascalientes"
"010010409","21°55'24.000""N","102°06'35.000""W","2050","F13D19","R","Aguascalientes","Aguascalientes"
"010010412","21°54'35.000""N","102°06'13.000""W","2030","F13D19","R","Aguascalientes","Aguascalientes"
"010010446","22°03'57.000""N","102°10'32.000""W","2020","F13B89","R","Aguascalientes","Aguascalientes"
"010010447","21°58'16.000""N","101°59'01.000""W","2025","F14C11","R","Aguascalientes","Aguascalientes"
"010010448","21°53'59.000""N","102°03'48.000""W","2040","F13D19","R","Aguascalientes","Aguascalientes"
